Unnamed: 0,Model,Price,Rating,Generation,Core,Ram,SSD,Display,Graphics,OS,Warranty,image_url
455,Lenovo IdeaPad Flex 5 14IRU8 82Y0004TIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹87,990",61.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
456,Acer Aspire 5 2023 A515-58GM Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),"₹60,999",61.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Product_Gallery/20230110/Aspire5_A515-58M_silver_01.png
457,MSI Bravo 15 B7ED-011IN Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹79,990",65.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX6550M,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
458,Lenovo IdeaPad Gaming 3 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹50,712",63.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
459,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹83,990",66.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX RTX 3050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0B6E8C7B-9C95-4A95-B9A8-8B7D8E531A8A
460,Lenovo IdeaPad Slim 1 82VG00EVIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹32,000",52.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
461,Asus Vivobook 16 2023 X1605VA-MB957WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),"₹95,689",66.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Integrated Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
462,HP Zbook FireFly 14 G8 4F0W6PA Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 ),"₹89,900",65.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
463,Dell Inspiron 15 3511 IN35117W5CCS01ORB1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹44,890",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11  OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/inspiron-15-3530-laptop.png
464,Asus Vivobook S14 Flip TN3402QA-LZ551WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 1TB SSD/Win11),"₹63,990",55.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
465,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹63,889",60.0,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
466,Asus Vivobook S14 Flip TN3402QA-LZ751WS Laptop (AMD Ryzen 7/ 16GB/ 1TB SSD/Win11),"₹68,990",59.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
467,Lenovo IdeaPad 1 15AMN7 82VG00J5IN Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),"₹37,990",52.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon 610M,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
468,Lenovo Thinkpad T14 Laptop (AMD R7 Pro 4750U/ 16GB/ 512GB SSD/ Win 10 Pro),"₹90,000",55.0,4th Gen AMD Ryzen 7 PRO 4750U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",AMD Radeon Graphics,Windows 10 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2023/05/18/8t0e4vsh5v8jv0zkx8h8d2mr7r5v2o742041.png
469,Lenovo IdeaPad Gaming 3 82K2028AIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹46,490",57.0,5th Gen AMD Ryzen 5  5500H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB  NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
470,Lenovo IdeaPad Slim 3 82RK011DIN Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹32,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",‎Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
471,Dell Vostro 3520 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹42,990",53.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/laptop-family-site-refresh.png
472,HP 255 G9 724N9EA Laptop (AMD Athlon Silver 3050U/ 4GB/ 256GB SSD/ Win11),"₹21,290",,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,"15.6 inches, 1366 x 768 pixels",AMD Integrated,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
473,Lenovo IdeaPad 1 15AMN7 82VG00EQIN Laptop (AMD Athlon 7120U / 8GB/ 512GB SSD/ Win11 Home),"₹26,990",,AMD Athlon 7120U,"Dual Core, 2 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",AMD Radeon 610M Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
474,Dell Vostro 3530 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹55,700",52.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Graphics ,Windows 11 OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/laptop-family-site-refresh.png
475,Lenovo V14 G4 Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),"₹28,990",,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",AMD Radeon,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
476,Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹57,990",59.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,Backlit Keyboard,https://p1-ofp.static.pub/fes/cms/2023/05/18/8t0e4vsh5v8jv0zkx8h8d2mr7r5v2o742041.png
477,Lenovo V15 G3 82TTA02UIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹44,990",59.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
478,MSI Creator Z16 HX B13VFTO-215IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ RTX4060),"₹2,19,990",,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
479,Dell Vostro 3525 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11),"₹36,990",52.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/laptop-family-site-refresh.png
480,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹92,990",64.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0B6E8C7B-9C95-4A95-B9A8-8B7D8E531A8A
481,Asus ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹94,990",65.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0B6E8C7B-9C95-4A95-B9A8-8B7D8E531A8A
482,MSI Creator Pro M16 B13VJ-1272IN Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11/ 8GB Graph),"₹2,49,990",79.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",8 GB NVIDIA GeForce RTX A2000 Ada,Windows 11 OS,2 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
483,Lenovo IdeaPad Slim 3i 82X70032IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹43,590",,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
484,HP 240 G9 821J4PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ Win11),"₹64,490",59.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1366 x 768 pixels",Intel Integrated,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
485,Lenovo IdeaPad Flex 5 Gen 8 82XX0070IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),"₹62,990",65.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon AMD,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
486,Dell Inspiron 3530 15 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),"₹66,450",52.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/inspiron-15-3530-laptop.png
487,Lenovo IdeaPad 3 82H802L3IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹35,232",54.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
488,HP ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,24,000",69.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
489,Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹79,990",68.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB DDR5  RAM,512 GB SSD,"17.3 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0B6E8C7B-9C95-4A95-B9A8-8B7D8E531A8A
490,Lenovo IdeaPad Slim 3 82H803HPIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹47,490",55.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
491,HP Victus 15-fa1132TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹59,990",62.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08475706.png
492,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),"₹36,990",55.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,1 TB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
493,Lenovo IdeaPad Gaming 3 15IHU6 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹50,990",60.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 2050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
494,Acer Aspire Lite 15 AL15-51 Laptop (11th Gen Core i3/16GB/ 512GB SSD/ Win11),"₹35,499",57.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics ,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Product_Gallery/20230110/Aspire5_A515-58M_silver_01.png
495,Lenovo Yoga 6 13ABR8 83B2007UIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),"₹86,190",66.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB LPDDR4X RAM,1 TB SSD,"13.3 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
496,Lenovo IdeaPad Flex 5 82R900D4IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),"₹64,990",60.0,5th Gen AMD Ryzen 7 5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
497,Ultimus Neo NU14U3INT54BN Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/Win11 Home),"₹22,000",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,"14.1 inches, 1920 x 1080 pixels",Intel Integrated Iris,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
498,Microsoft Surface Laptop Go 3 (12th Gen Core i5/ 16 GB RAM/ 256 GB SSD/ Win 11),"₹89,990",56.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,256 GB SSD,"12.4 inches, 1536 x 1024 pixels, Touch Screen",Intel Iris Xe Graphics ,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
499,HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹50,490",63.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX 6500M,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08475706.png
500,Lenovo Legion Slim 5 16APH8 82Y90042IN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,28,990",78.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2023/10/17/lmvv83h6w8lf0n6i4b6u4p2ckm6m5g996086.png
501,Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹50,990",63.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
502,Lenovo Legion Slim 5 82Y9009KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,14,190",75.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2023/10/17/lmvv83h6w8lf0n6i4b6u4p2ckm6m5g996086.png
503,HP Pavilion x360 14-ek1021TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹89,990",65.0,13th Gen Intel Core i7 1355U ,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels, Touch Screen",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
504,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",63.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
505,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹97,000",66.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08475706.png
506,Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹47,990",51.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,3 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
507,Lenovo Yoga Pro 7 82Y700A2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,04,900",61.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB  LPDDR5 RAM,1 TB SSD,"14.5 inches, 2560 x 1600 pixels",Integrated Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
508,HP 15-fc0027AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹36,990",52.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
509,Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,30,990",79.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,1 Year Warranty,https://p1-ofp.static.pub/fes/cms/2023/10/17/lmvv83h6w8lf0n6i4b6u4p2ckm6m5g996086.png
510,Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹40,990",,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Product_Gallery/20230110/Aspire5_A515-58M_silver_01.png
511,HP Spectre 17-cs0097nr Foldable Laptop (12th Gen Core i7/ 16 GB RAM/ 1 TB SSD/ Win 11),"₹4,15,000",66.0,12th Gen Intel Core i7 1250U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,"17 inches, 1920 x 2560 pixels, Touch Screen",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
512,Asus VivoBook 15 X515MA-BR022WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),"₹27,490",,Intel Celeron N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",Intel Integrated UHD 600,Windows OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
